timestamp(s),nodeId,src,seq,dst,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded,ok
324.213289177,6,6,17,2,63,0,0,4200,75,8,38877.446516368,0.999934324,0,1
324.353065767,3,6,17,2,62,1,0,4200,72,8,38877.065163840,0.999924516,1,1
324.600531278,5,5,22,7,63,0,0,4200,75,8,38877.344961216,0.999931712,0,1
324.686673106,8,8,19,6,63,0,0,4200,75,8,38877.580803933,0.999937778,0,1
325.285564319,4,4,18,8,63,0,0,4200,75,8,38876.471546413,0.999909248,0,1
329.035127545,7,7,18,0,63,0,0,4200,75,8,38877.490139930,0.999935446,0,1
329.174904135,6,7,18,0,62,1,0,4200,72,8,38877.367039306,0.999932280,1,1
329.264742471,3,3,17,5,63,0,0,4200,75,8,38876.985704756,0.999922472,0,1
330.493470961,1,1,19,6,63,0,0,4200,75,8,38877.301964494,0.999930606,0,1
331.877940882,0,0,16,5,63,0,0,4200,75,8,38877.913175205,0.999946327,0,1
332.017717472,1,0,16,5,62,1,0,4200,72,8,38877.232378709,0.999928816,1,1
332.144748858,2,2,19,6,63,0,0,4200,75,8,38877.525238770,0.999936349,0,1
334.213289177,6,6,18,0,63,0,0,4200,75,8,38877.287534608,0.999930235,0,1
334.600531278,5,5,23,1,63,0,0,4200,75,8,38877.246362688,0.999929176,0,1
334.686673106,8,8,20,5,63,0,0,4200,75,8,38877.473551581,0.999935019,0,1
335.285564319,4,4,19,6,63,0,0,4200,75,8,38876.364294061,0.999906489,0,1
339.035127545,7,7,19,6,63,0,0,4200,75,8,38877.408849050,0.999933355,0,1
339.264742471,3,3,18,6,63,0,0,4200,75,8,38876.887106228,0.999919936,0,1
340.493470961,1,1,20,2,63,0,0,4200,75,8,38877.142982734,0.999926517,0,1
341.877940882,0,0,17,2,63,0,0,4200,75,8,38877.823230501,0.999944013,0,1
342.017717472,1,0,17,2,62,1,0,4200,72,8,38877.073396949,0.999924727,1,1
342.144748858,2,2,20,7,63,0,0,4200,75,8,38877.417986418,0.999933590,0,1
344.213289177,6,6,19,5,63,0,0,4200,75,8,38877.197589904,0.999927922,0,1
344.353065767,7,6,19,5,62,1,0,4200,72,8,38877.329243712,0.999931308,1,1
344.600531278,5,5,24,4,63,0,0,4200,75,8,38877.147764160,0.999926640,0,1
344.686673106,8,8,21,0,63,0,0,4200,75,8,38877.366299229,0.999932261,0,1
344.826449942,4,8,21,0,62,1,0,4200,72,8,38876.239899342,0.999903290,1,1
345.285564319,4,4,20,6,63,0,0,4200,75,8,38876.179350829,0.999901732,0,1
349.035127545,7,7,20,1,63,0,0,4200,75,8,38877.249867290,0.999929266,0,1
349.264742471,3,3,19,8,63,0,0,4200,75,8,38876.771200052,0.999916955,0,1
349.404519791,2,3,19,8,62,1,0,4200,72,8,38877.329028197,0.999931302,1,1
350.493470961,1,1,21,5,63,0,0,4200,75,8,38876.966693326,0.999921983,0,1
351.877940882,0,0,18,2,63,0,0,4200,75,8,38877.698670501,0.999940809,0,1
352.017717472,1,0,18,2,62,1,0,4200,72,8,38876.897107541,0.999920193,1,1
352.144748858,2,2,21,5,63,0,0,4200,75,8,38877.259004658,0.999929501,0,1
354.213289177,6,6,20,0,63,0,0,4200,75,8,38877.081683728,0.999924940,0,1
354.600531278,5,5,25,3,63,0,0,4200,75,8,38877.040511808,0.999923881,0,1
354.686673106,8,8,22,1,63,0,0,4200,75,8,38877.259046877,0.999929502,0,1
355.285564319,4,4,21,8,63,0,0,4200,75,8,38876.072098477,0.999898974,0,1
359.035127545,7,7,21,4,63,0,0,4200,75,8,38877.159922586,0.999926953,0,1
359.264742471,3,3,20,4,63,0,0,4200,75,8,38876.672601524,0.999914419,0,1
360.493470961,1,1,22,0,63,0,0,4200,75,8,38876.799057742,0.999917671,0,1
361.877940882,0,0,19,2,63,0,0,4200,75,8,38877.617379621,0.999938719,0,1
362.017717472,1,0,19,2,62,1,0,4200,72,8,38876.729471957,0.999915881,1,1
362.144748858,2,2,22,7,63,0,0,4200,75,8,38877.177713778,0.999927410,0,1
362.414766730,0,0,7,65535,63,0,0,4200,0,7,38877.576129084,0.999937658,0,1
362.807546093,1,1,7,65535,63,0,0,4200,0,7,38876.691627811,0.999914908,0,1
363.595940747,3,3,7,65535,63,0,0,4200,0,7,38876.607521013,0.999912745,0,1
364.213289177,6,6,21,4,63,0,0,4200,75,8,38876.977928848,0.999922272,0,1
364.353065767,7,6,21,4,62,1,0,4200,72,8,38877.070004544,0.999924640,1,1
364.600531278,5,5,26,6,63,0,0,4200,75,8,38876.919449280,0.999920768,0,1
364.686673106,8,8,23,7,63,0,0,4200,75,8,38877.143140701,0.999926521,0,1
365.285564319,4,4,22,0,63,0,0,4200,75,8,38875.940723245,0.999895595,0,1
368.473097285,2,2,7,65535,63,0,0,4200,0,7,38877.120568117,0.999925941,0,1
368.722219627,5,5,7,65535,63,0,0,4200,0,8,38876.843772065,0.999918821,0,1
368.970359947,8,8,7,65535,63,0,0,4200,0,7,38877.091334510,0.999925189,0,1
