timestamp(s),src,dst,seq,hops,delay_gen_to_rx(s),delay_first_tx_to_rx(s),bytes,sf,delivered
899.404519061,3,6,74,0,0.139776590,0.139776590,20,12,1
900.633247796,1,3,76,0,0.139776835,0.139776835,20,12,1
902.017718063,0,6,73,0,0.139777181,0.139777181,20,12,1
905.425341155,4,8,76,0,0.139776836,0.139776836,20,12,1
910.633247551,1,0,77,0,0.139776590,0.139776590,20,12,1
912.017717472,0,3,74,0,0.139776590,0.139776590,20,12,1
912.284525448,2,1,77,0,0.139776590,0.139776590,20,12,1
914.353066497,6,1,76,0,0.139777320,0.139777320,20,12,1
915.425341155,4,8,77,0,0.139776836,0.139776836,20,12,1
919.174904380,7,3,77,0,0.139776835,0.139776835,20,12,1
920.633248142,1,7,78,0,0.139777181,0.139777181,20,12,1
922.017718063,0,2,75,0,0.139777181,0.139777181,20,12,1
922.424302038,2,0,78,1,0.279553180,0.279553180,20,12,1
924.353065767,6,7,77,0,0.139776590,0.139776590,20,12,1
925.425340909,4,3,78,0,0.139776590,0.139776590,20,12,1
929.174904137,7,8,78,0,0.139776592,0.139776592,20,12,1
930.633247551,1,4,79,0,0.139776590,0.139776590,20,12,1
932.017718202,0,5,76,0,0.139777320,0.139777320,20,12,1
935.425341154,4,0,79,0,0.139776835,0.139776835,20,12,1
939.174904135,7,4,79,0,0.139776590,0.139776590,20,12,1
940.633248142,1,7,80,0,0.139777181,0.139777181,20,12,1
942.157494307,0,7,77,1,0.279553425,0.279553425,20,12,1
944.740307868,5,2,84,0,0.139776590,0.139776590,20,12,1
945.425341154,4,6,80,0,0.139776835,0.139776835,20,12,1
949.174904135,7,4,80,0,0.139776590,0.139776590,20,12,1
950.773024387,1,8,81,1,0.279553426,0.279553426,20,12,1
954.353065767,6,3,80,0,0.139776590,0.139776590,20,12,1
955.425340909,4,1,81,0,0.139776590,0.139776590,20,12,1
959.174904135,7,4,81,0,0.139776590,0.139776590,20,12,1
959.404519306,3,7,80,0,0.139776835,0.139776835,20,12,1
960.633247551,1,0,82,0,0.139776590,0.139776590,20,12,1
962.017717717,0,4,79,0,0.139776835,0.139776835,20,12,1
962.284525448,2,5,82,0,0.139776590,0.139776590,20,12,1
964.353066358,6,8,81,0,0.139777181,0.139777181,20,12,1
965.425340909,4,3,82,0,0.139776590,0.139776590,20,12,1
969.404519652,3,5,81,0,0.139777181,0.139777181,20,12,1
972.284525448,2,1,83,0,0.139776590,0.139776590,20,12,1
974.353066358,6,0,82,0,0.139777181,0.139777181,20,12,1
974.826450287,8,6,84,0,0.139777181,0.139777181,20,12,1
975.425340909,4,7,83,0,0.139776590,0.139776590,20,12,1
979.174904380,7,5,83,0,0.139776835,0.139776835,20,12,1
979.404519306,3,1,82,0,0.139776835,0.139776835,20,12,1
980.633247796,1,3,84,0,0.139776835,0.139776835,20,12,1
982.424303220,2,6,84,1,0.279554362,0.279554362,20,12,1
984.353066358,6,0,83,0,0.139777181,0.139777181,20,12,1
984.740307868,5,2,88,0,0.139776590,0.139776590,20,12,1
985.425341154,4,0,84,0,0.139776835,0.139776835,20,12,1
990.633247551,1,2,85,0,0.139776590,0.139776590,20,12,1
992.017717472,0,3,82,0,0.139776590,0.139776590,20,12,1
994.353065767,6,3,84,0,0.139776590,0.139776590,20,12,1
995.425341154,4,0,85,0,0.139776835,0.139776835,20,12,1
999.174904380,7,3,85,0,0.139776835,0.139776835,20,12,1
999.404519306,3,7,84,0,0.139776835,0.139776835,20,12,1
1000.633247551,1,0,86,0,0.139776590,0.139776590,20,12,1
1002.017717717,0,4,83,0,0.139776835,0.139776835,20,12,1
1002.284525448,2,1,86,0,0.139776590,0.139776590,20,12,1
1004.492842359,6,8,85,1,0.279553182,0.279553182,20,12,1
1005.425340909,4,5,86,0,0.139776590,0.139776590,20,12,1
1009.174904135,7,4,86,0,0.139776590,0.139776590,20,12,1
1009.404519061,3,6,85,0,0.139776590,0.139776590,20,12,1
1010.633247796,1,5,87,0,0.139776835,0.139776835,20,12,1
1012.017717472,0,1,84,0,0.139776590,0.139776590,20,12,1
1014.353066497,6,1,86,0,0.139777320,0.139777320,20,12,1
1015.425340909,4,1,87,0,0.139776590,0.139776590,20,12,1
1019.174904137,7,8,87,0,0.139776592,0.139776592,20,12,1
