timestamp(s),nodeId,src,dst,seq,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded
399.098559712,1,7,1,58,63,0,0,0,0,12,3879.188314032,0.997733620,0
399.899495089,1,5,1,91,63,0,0,0,0,12,3879.117375119,0.997715374,0
400.098559366,5,7,0,59,63,0,0,0,0,12,3878.007430168,0.997429895,1
400.098559851,0,7,0,59,63,0,0,0,0,12,3879.122370970,0.997716659,0
401.098559366,3,7,3,60,63,0,0,0,0,12,3877.944567556,0.997413726,0
401.343628029,5,8,1,71,63,0,0,0,0,12,3877.867607524,0.997393932,1
402.098559123,8,7,8,61,63,0,0,0,0,12,3879.629368018,0.997847060,0
403.098559366,3,7,1,62,63,0,0,0,0,12,3877.800396507,0.997376645,1
403.098559712,1,7,1,62,63,0,0,0,0,12,3878.888087349,0.997656401,0
403.343628029,5,8,0,73,63,0,0,0,0,12,3877.651168658,0.997338264,1
404.098559121,4,7,4,63,63,0,0,0,0,12,3879.546390840,0.997825718,0
404.600487415,7,4,7,75,63,0,0,0,0,12,3880.678630951,0.998116932,0
404.795330447,7,6,5,102,63,0,0,0,0,12,3880.671566363,0.998115115,1
405.098559366,5,7,2,64,63,0,0,0,0,12,3877.442083680,0.997284487,1
405.795330447,7,6,5,103,63,0,0,0,0,12,3880.533155314,0.998079515,1
406.098559366,3,7,3,65,63,0,0,0,0,12,3877.499987531,0.997299380,0
406.343628029,5,8,1,76,63,0,0,0,0,12,3877.308203328,0.997250052,1
406.795331038,0,6,1,104,63,0,0,0,0,12,3878.631403482,0.997590382,1
406.899494846,8,5,8,98,63,0,0,0,0,12,3879.246317836,0.997748539,0
407.098559121,4,7,4,66,63,0,0,0,0,12,3879.330134267,0.997770096,0
407.343628029,5,8,2,77,63,0,0,0,0,12,3877.169792279,0.997214453,1
407.625836698,5,1,8,100,63,0,0,0,0,12,3877.101841232,0.997196976,1
407.765613290,8,1,8,100,62,1,0,0,0,12,3879.163118884,0.997727140,0
407.925869288,4,5,4,99,63,0,0,0,0,12,3879.259043436,0.997751812,0
408.098559121,6,7,6,67,63,0,0,0,0,12,3877.550868792,0.997312466,0
408.365923503,6,3,6,101,63,0,0,0,0,12,3877.543386481,0.997310542,0
408.899494844,2,5,2,100,63,0,0,0,0,12,3881.233210666,0.998259571,0
410.098559366,3,7,1,69,63,0,0,0,0,12,3877.199760848,0.997222161,1
410.098559712,1,7,1,69,63,0,0,0,0,12,3878.377546385,0.997525089,0
410.899495089,1,5,1,102,63,0,0,0,0,12,3878.300665180,0.997505315,0
411.098559121,4,7,4,70,63,0,0,0,0,12,3879.035849876,0.997694406,0
412.098559123,8,7,8,71,63,0,0,0,0,12,3878.860974433,0.997649428,0
413.098559366,5,7,5,72,63,0,0,0,0,12,3876.623866556,0.997074040,0
414.098559121,4,7,4,73,63,0,0,0,0,12,3878.819593303,0.997638784,0
415.098559366,5,7,0,74,63,0,0,0,0,12,3876.479695507,0.997036959,1
415.098559851,0,7,0,74,63,0,0,0,0,12,3877.998531749,0.997427606,0
416.098559366,5,7,2,75,63,0,0,0,0,12,3876.347226751,0.997002888,1
416.098559851,2,7,2,75,63,0,0,0,0,12,3880.721523088,0.998127964,0
417.098559366,3,7,3,76,63,0,0,0,0,12,3876.611009775,0.997070733,0
417.899494844,2,5,2,109,63,0,0,0,0,12,3880.578498654,0.998091178,0
418.098559121,4,7,4,77,63,0,0,0,0,12,3878.537193498,0.997566151,0
419.098559851,0,7,0,78,63,0,0,0,0,12,3877.722074236,0.997356501,0
419.343628029,5,8,0,89,63,0,0,0,0,12,3876.069175350,0.996931372,1
419.795330447,3,6,2,117,63,0,0,0,0,12,3876.390557508,0.997014032,1
420.098559123,8,7,8,79,63,0,0,0,0,12,3878.248636482,0.997491933,0
421.098559123,8,7,8,80,63,0,0,0,0,12,3878.170608665,0.997471864,0
421.343628029,5,8,2,91,63,0,0,0,0,12,3875.858678776,0.996877232,1
422.098559121,6,7,6,81,63,0,0,0,0,12,3876.476306232,0.997036087,0
