timestamp(s),nodeId,destination,nextHop,hops,score,seq,action
384.366040199,2,7,7,1,1,1,USED
384.460710825,4,6,6,1,1,5,USED
384.486059863,1,8,5,2,4,6,USED
384.655553857,6,3,3,1,1,5,USED
384.759718254,5,1,1,1,2,5,USED
384.958782531,7,2,5,2,2,6,USED
385.203851437,8,0,5,2,2,5,USED
385.226146913,3,1,1,1,1,5,USED
385.241123005,0,1,1,1,1,5,USED
385.366040199,2,8,5,2,3,5,USED
385.460710825,4,7,7,1,1,6,USED
385.486059863,1,0,3,2,2,5,USED
385.655553857,6,8,8,1,1,4,USED
385.759718254,5,7,8,2,3,6,USED
385.958782531,7,3,3,1,1,5,USED
386.203851437,8,5,5,1,1,5,USED
386.226146913,3,0,0,1,1,6,USED
386.241123005,0,6,6,1,1,6,USED
386.366040199,2,6,4,2,2,5,USED
386.460710825,4,2,2,1,1,5,USED
386.486059863,1,3,3,1,1,5,USED
386.655553857,6,8,8,1,1,4,USED
386.759718254,5,7,8,2,3,6,USED
386.958782531,7,0,5,2,2,6,USED
387.203851437,8,5,5,1,1,5,USED
387.226146913,3,1,1,1,1,5,USED
387.241123005,0,7,7,1,1,4,USED
387.366040199,2,4,4,1,1,5,USED
387.460710825,4,5,5,1,1,5,USED
387.486059863,1,2,4,2,2,6,USED
387.655553857,6,4,4,1,1,5,USED
387.759718254,5,4,4,1,1,5,USED
387.958782531,7,6,6,1,2,6,USED
388.203851437,8,2,5,2,2,5,USED
388.226146913,3,4,4,1,1,5,USED
388.241123005,0,8,6,2,2,6,USED
388.366040199,2,4,4,1,1,5,USED
388.460710825,4,8,8,1,1,6,USED
388.486059863,1,7,7,1,1,2,USED
388.655553857,6,3,3,1,1,5,USED
388.759718254,5,1,1,1,2,5,USED
388.958782531,7,1,3,2,2,5,USED
389.203851437,8,1,5,2,3,5,USED
389.226146913,3,0,0,1,1,6,USED
389.241123005,0,7,7,1,1,4,USED
389.366040199,2,4,4,1,1,5,USED
389.460710825,4,1,1,1,1,5,USED
389.486059863,1,4,4,1,1,6,USED
389.655553857,6,4,4,1,1,5,USED
389.759718254,5,6,4,2,2,5,USED
389.958782531,7,1,3,2,2,5,USED
390.203851437,8,3,3,1,1,1,USED
390.226146913,3,0,0,1,1,6,USED
390.241123005,0,1,1,1,1,5,USED
390.366040199,2,5,5,1,2,5,USED
390.460710825,4,0,0,1,1,4,USED
390.486059863,1,4,4,1,1,6,USED
390.655553857,6,0,0,1,1,5,USED
390.759718254,5,8,8,1,2,6,USED
390.958782531,7,8,8,1,2,6,USED
391.203851437,8,4,4,1,1,1,USED
391.226146913,3,4,4,1,1,5,USED
391.241123005,0,3,3,1,1,6,USED
391.366040199,2,4,4,1,1,5,USED
391.460710825,4,6,6,1,1,5,USED
391.486059863,1,3,3,1,1,5,USED
391.655553857,6,2,3,2,2,5,USED
391.759718254,5,3,4,2,2,5,USED
391.958782531,7,6,6,1,2,6,USED
392.203851437,8,4,4,1,1,1,USED
392.226146913,3,4,4,1,1,5,USED
392.241123005,0,6,6,1,1,6,USED
392.366040199,2,4,4,1,1,5,USED
392.460710825,4,7,7,1,1,6,USED
392.486059863,1,7,7,1,1,2,USED
