timestamp(s),nodeId,src,seq,dst,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded,ok
339.759718254,5,5,31,0,63,0,0,4199,48,8,3883.354707328,0.998805223,0,1
340.203851437,8,8,10,3,63,0,0,4199,48,8,3884.616404977,0.999129734,0,1
340.226146913,3,3,33,2,63,0,0,4199,48,8,3883.121888239,0.998745342,0,1
340.241123005,0,0,35,8,63,0,0,4199,48,8,3883.401064564,0.998817146,0,1
340.460710825,4,4,11,0,63,0,0,4199,48,8,3884.260238030,0.999038127,0,1
340.486059863,1,1,33,2,63,0,0,4199,48,8,3883.384787674,0.998812960,0,1
340.655553857,6,6,38,7,63,0,0,4198,48,8,3882.875801784,0.998682048,0,1
340.759718254,5,5,32,0,63,0,0,4199,48,8,3883.288564096,0.998788211,0,1
341.203851437,8,8,11,2,63,0,0,4199,48,8,3884.550261745,0.999112722,0,1
341.226146913,3,3,34,5,63,0,0,4198,48,8,3883.055745007,0.998728329,0,1
341.241123005,0,0,36,8,63,0,0,4199,48,8,3883.334921332,0.998800134,0,1
341.460710825,4,4,12,6,63,0,0,4199,48,8,3884.194094798,0.999021115,0,1
341.486059863,1,1,34,2,63,0,0,4199,48,8,3883.318644442,0.998795948,0,1
341.655553857,6,6,39,1,63,0,0,4198,48,8,3882.803716259,0.998663507,0,1
341.759718254,5,5,33,2,63,0,0,4199,48,8,3883.222420864,0.998771199,0,1
341.958782531,7,7,1,0,63,0,0,4199,48,8,3885.388941044,0.999328431,0,1
342.098559366,3,7,1,0,62,1,0,4198,48,8,3882.978452095,0.998708450,1,1
342.203851437,8,8,12,6,63,0,0,4199,48,8,3884.472233928,0.999092653,0,1
342.241123005,0,0,37,8,63,0,0,4199,48,8,3883.256893515,0.998780065,0,1
342.258815366,3,3,35,8,63,0,0,4198,48,8,3882.917145788,0.998692682,0,1
342.398591956,6,3,35,8,62,1,0,4198,48,8,3882.721226250,0.998642291,1,1
342.460710825,4,4,13,6,63,0,0,4199,48,8,3884.122009274,0.999002574,0,1
342.486059863,1,1,35,3,63,0,0,4199,48,8,3883.252501210,0.998778935,0,1
342.655553857,6,6,40,2,63,0,0,4198,48,8,3882.659362918,0.998626379,0,1
342.759718254,5,5,34,7,63,0,0,4199,48,8,3883.144393047,0.998751130,0,1
342.958782531,7,7,2,6,63,0,0,4199,48,8,3885.310913227,0.999308362,0,1
343.203851437,8,8,13,2,63,0,0,4199,48,8,3884.400148404,0.999074112,0,1
343.226146913,3,3,36,0,63,0,0,4198,48,8,3882.851190726,0.998675718,0,1
343.241123005,0,0,38,6,63,0,0,4199,48,8,3883.184807990,0.998761525,0,1
343.343628029,5,8,13,2,62,1,0,4198,48,8,3883.068761910,0.998731677,1,1
343.460710825,4,4,14,2,63,0,0,4199,48,8,3884.049923749,0.998984034,0,1
343.486059863,1,1,36,0,63,0,0,4199,48,8,3883.180415686,0.998760395,0,1
343.655553857,6,6,41,2,63,0,0,4198,48,8,3882.575392809,0.998604782,0,1
343.759718254,5,5,35,3,63,0,0,4198,48,8,3883.000039705,0.998714002,0,1
343.958782531,7,7,3,4,63,0,0,4199,48,8,3885.238827703,0.999289822,0,1
344.203851437,8,8,14,6,63,0,0,4199,48,8,3884.322120587,0.999054043,0,1
344.226146913,3,3,37,2,63,0,0,4198,48,8,3882.785047494,0.998658706,0,1
344.241123005,0,0,39,1,63,0,0,4199,48,8,3883.118664758,0.998744513,0,1
344.460710825,4,4,15,6,63,0,0,4199,48,8,3883.977838225,0.998965493,0,1
344.486059863,1,1,37,8,63,0,0,4199,48,8,3883.108330161,0.998741854,0,1
344.655553857,6,6,42,3,63,0,0,4198,48,8,3882.497364992,0.998584713,0,1
344.759718254,5,5,36,6,63,0,0,4198,48,8,3882.927954181,0.998695461,0,1
344.958782531,7,7,4,5,63,0,0,4199,48,8,3885.166742178,0.999271281,0,1
345.203851437,8,8,15,7,63,0,0,4199,48,8,3884.250035062,0.999035503,0,1
