timestamp(s),nodeId,kind,bytes,src,dst,seq,hops,sf
737.759718254,5,data,27,5,6,429,0,8
737.958782531,7,data,27,7,0,397,0,8
738.098559121,6,data,27,7,0,397,1,8
738.203851437,8,data,27,8,0,408,0,8
738.226146913,3,data,27,3,0,431,0,8
738.241123005,0,data,27,0,1,433,0,8
738.366040199,2,data,27,2,0,383,0,8
738.460710825,4,data,27,4,5,409,0,8
738.486059863,1,data,27,1,5,431,0,8
738.655553857,6,data,27,6,7,436,0,8
738.759718254,5,data,27,5,4,430,0,8
738.958782531,7,data,27,7,4,398,0,8
739.203851437,8,data,27,8,7,409,0,8
739.226146913,3,data,27,3,4,432,0,8
739.241123005,0,data,27,0,8,434,0,8
739.366040199,2,data,27,2,5,384,0,8
739.460710825,4,data,27,4,0,410,0,8
739.486059863,1,data,27,1,0,432,0,8
739.655553857,6,data,27,6,3,437,0,8
739.759718254,5,data,27,5,8,431,0,8
739.958782531,7,data,27,7,6,399,0,8
740.203851437,8,data,27,8,4,410,0,8
740.226146913,3,data,27,3,4,433,0,8
740.241123005,0,data,27,0,4,435,0,8
740.366040199,2,data,27,2,3,385,0,8
740.460710825,4,data,27,4,5,411,0,8
740.486059863,1,data,27,1,3,433,0,8
740.655553857,6,data,27,6,7,438,0,8
740.759718254,5,data,27,5,0,432,0,8
740.958782531,7,data,27,7,6,400,0,8
741.203851437,8,data,27,8,6,411,0,8
741.226146913,3,data,27,3,6,434,0,8
741.241123005,0,data,27,0,1,436,0,8
741.343628029,7,data,27,8,6,411,1,8
741.366040199,2,data,27,2,5,386,0,8
741.460710825,4,data,27,4,1,412,0,8
741.486059863,1,data,27,1,7,434,0,8
741.655553857,6,data,27,6,0,439,0,8
741.759718254,5,data,27,5,6,433,0,8
741.899494844,4,data,27,5,6,433,1,8
741.958782531,7,data,27,7,3,401,0,8
742.203851437,8,data,27,8,5,412,0,8
742.226146913,3,data,27,3,1,435,0,8
742.241123005,0,data,27,0,7,437,0,8
742.366040199,2,data,27,2,7,387,0,8
742.460710825,4,data,27,4,1,413,0,8
742.486059863,1,data,27,1,7,435,0,8
742.655553857,6,data,27,6,5,440,0,8
742.759718254,5,data,27,5,0,434,0,8
742.958782531,7,data,27,7,5,402,0,8
743.203851437,8,data,27,8,4,413,0,8
743.226146913,3,data,27,3,5,436,0,8
743.241123005,0,data,27,0,2,438,0,8
743.366040199,2,data,27,2,3,388,0,8
743.460710825,4,data,27,4,7,414,0,8
743.486059863,1,data,27,1,7,436,0,8
743.655553857,6,data,27,6,1,441,0,8
743.759718254,5,data,27,5,4,435,0,8
743.958782531,7,data,27,7,8,403,0,8
744.203851437,8,data,27,8,3,414,0,8
744.226146913,3,data,27,3,2,437,0,8
744.241123005,0,data,27,0,1,439,0,8
744.366040199,2,data,27,2,0,389,0,8
744.460710825,4,data,27,4,3,415,0,8
744.486059863,1,data,27,1,2,437,0,8
744.655553857,6,data,27,6,1,442,0,8
744.759718254,5,data,27,5,8,436,0,8
744.958782531,7,data,27,7,5,404,0,8
745.203851437,8,data,27,8,4,415,0,8
745.226146913,3,data,27,3,0,438,0,8
745.241123005,0,data,27,0,3,440,0,8
745.343628029,7,data,27,8,4,415,1,8
745.366040199,2,data,27,2,3,390,0,8
745.460710825,4,data,27,4,0,416,0,8
745.486059863,1,data,27,1,5,438,0,8
745.655553857,6,data,27,6,7,443,0,8
745.759718254,5,data,27,5,4,437,0,8
745.958782531,7,data,27,7,8,405,0,8
746.203851437,8,data,27,8,0,416,0,8
746.226146913,3,data,27,3,1,439,0,8
746.241123005,0,data,27,0,8,441,0,8
746.343628029,5,data,27,8,0,416,1,8
746.366040199,2,data,27,2,6,391,0,8
746.460710825,4,data,27,4,5,417,0,8
746.486059863,1,data,27,1,7,439,0,8
746.655553857,6,data,27,6,4,444,0,8
746.759718254,5,data,27,5,4,438,0,8
746.958782531,7,data,27,7,5,406,0,8
747.203851437,8,data,27,8,2,417,0,8
747.226146913,3,data,27,3,8,440,0,8
747.241123005,0,data,27,0,3,442,0,8
747.343628029,5,data,27,8,2,417,1,8
747.366040199,2,data,27,2,7,392,0,8
747.460710825,4,data,27,4,2,418,0,8
747.486059863,1,data,27,1,4,440,0,8
747.655553857,6,data,27,6,0,445,0,8
747.759718254,5,data,27,5,3,439,0,8
747.899495089,1,data,27,5,3,439,1,8
747.958782531,7,data,27,7,3,407,0,8
